Supplementary Table 12. Country-specific cumulative absolute risk for PGS strata across 19 phenotypes.,,,,,,,,,,,,
,,,,,,,,,,,,
Phenotype,Country,Sex,Study,Optimal Model,PGS Strata,Age,"Cumulative Absolute Risk 
(%)","Cumulative Absolute Risk  
Lower Confidence Interval
(%)","Cumulative Absolute Risk  
Upper Confidence Interval
(%)",,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,35,0.53,0.35,0.69,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,40,2.62,1.86,3.24,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,45,5.79,4.65,6.89,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,50,9.57,7.85,11.39,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,55,14.74,12.43,16.68,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,60,21.75,18.80,24.48,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,65,28.83,25.32,32.17,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,70,34.68,30.93,37.92,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,75,39.09,35.01,42.56,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,80,41.91,37.94,45.32,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,35,0.68,0.40,1.02,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,40,3.39,2.18,4.80,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,45,7.45,5.36,9.83,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,50,12.14,9.41,15.04,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,55,18.15,14.83,21.87,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,60,25.81,21.93,30.23,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,65,33.06,28.72,37.82,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,70,38.72,34.41,43.44,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,75,42.78,38.20,47.60,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,80,45.37,40.89,50.17,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,35,0.66,0.34,1.13,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,40,3.25,1.92,5.20,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,45,7.17,4.84,10.24,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,50,11.78,8.46,15.96,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,55,17.91,14.20,22.97,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,60,26.01,21.35,31.62,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,65,33.92,28.75,39.74,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,70,40.27,34.73,46.21,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,75,44.92,39.57,50.73,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,80,47.85,42.61,53.61,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,35,0.68,0.32,1.40,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,40,3.35,1.82,6.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,45,7.37,4.69,11.88,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,50,12.14,8.20,18.05,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,55,18.61,13.69,24.91,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,60,27.28,21.43,34.88,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,65,35.84,29.60,43.43,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,70,42.76,36.45,50.17,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,75,47.86,41.55,55.10,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,80,51.03,44.87,58.58,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,35,0.85,0.38,1.63,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,40,4.20,2.36,7.10,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,45,9.20,5.83,14.08,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,50,14.83,10.46,21.02,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,55,21.75,16.85,28.91,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,60,30.18,24.67,37.69,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,65,37.83,32.19,45.00,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,70,43.56,37.48,50.88,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,75,47.53,41.23,55.12,,,
Knee Osteoarthritis,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,80,50.05,44.08,57.31,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,< 20%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,< 20%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,< 20%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,< 20%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,< 20%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,< 20%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,< 20%,35,0.24,0.13,0.42,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,< 20%,40,1.19,0.72,1.83,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,< 20%,45,3.03,2.07,4.25,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,< 20%,50,5.89,4.25,7.92,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,< 20%,55,9.81,7.59,12.36,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,< 20%,60,14.70,11.77,17.91,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,< 20%,65,19.90,16.75,23.68,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,< 20%,70,24.84,21.24,28.91,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,< 20%,75,28.95,25.32,33.02,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,< 20%,80,31.74,28.08,36.11,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,20-40%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,20-40%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,20-40%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,20-40%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,20-40%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,20-40%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,20-40%,35,0.29,0.16,0.45,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,20-40%,40,1.47,0.91,2.15,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,20-40%,45,3.72,2.56,5.17,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,20-40%,50,7.25,5.29,9.61,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,20-40%,55,12.13,9.78,15.06,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,20-40%,60,18.26,15.05,21.40,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,20-40%,65,24.81,21.12,28.41,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,20-40%,70,31.03,27.11,34.92,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,20-40%,75,36.19,32.00,40.51,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,20-40%,80,39.65,35.66,44.03,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,40-60%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,40-60%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,40-60%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,40-60%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,40-60%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,40-60%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,40-60%,35,0.41,0.28,0.55,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,40-60%,40,2.06,1.51,2.54,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,40-60%,45,5.20,4.18,6.07,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,40-60%,50,9.95,7.91,11.74,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,40-60%,55,15.98,13.39,18.12,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,40-60%,60,22.91,19.59,25.79,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,40-60%,65,29.72,26.11,32.87,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,40-60%,70,35.69,31.72,39.11,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,40-60%,75,40.29,36.44,43.75,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,40-60%,80,43.31,39.68,46.61,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,60-80%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,60-80%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,60-80%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,60-80%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,60-80%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,60-80%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,60-80%,35,0.44,0.26,0.66,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,60-80%,40,2.18,1.42,3.07,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,60-80%,45,5.50,4.09,7.01,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,60-80%,50,10.52,7.99,13.47,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,60-80%,55,16.87,13.50,20.28,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,60-80%,60,24.16,19.86,28.16,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,60-80%,65,31.29,26.60,35.53,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,60-80%,70,37.53,32.78,41.96,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,60-80%,75,42.31,37.47,46.64,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,60-80%,80,45.45,40.67,49.75,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,80-90%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,80-90%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,80-90%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,80-90%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,80-90%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,80-90%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,80-90%,35,0.54,0.29,0.90,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,80-90%,40,2.68,1.70,3.90,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,80-90%,45,6.74,4.83,9.46,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,80-90%,50,12.81,9.43,16.95,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,80-90%,55,20.46,16.34,25.26,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,80-90%,60,29.13,23.98,34.70,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,80-90%,65,37.47,31.92,43.04,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,80-90%,70,44.61,38.99,50.13,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,80-90%,75,50.00,44.84,55.60,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,80-90%,80,53.45,48.22,58.66,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,90-95%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,90-95%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,90-95%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,90-95%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,90-95%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,90-95%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,90-95%,35,0.70,0.36,1.30,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,90-95%,40,3.47,2.05,5.68,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,90-95%,45,8.68,5.91,12.70,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,90-95%,50,16.26,11.55,22.07,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,90-95%,55,25.24,19.39,31.85,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,90-95%,60,34.82,28.17,41.78,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,90-95%,65,43.48,36.90,50.16,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,90-95%,70,50.51,44.27,57.39,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,90-95%,75,55.55,49.33,62.33,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,90-95%,80,58.72,52.36,65.05,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,> 95%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,> 95%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,> 95%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,> 95%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,> 95%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,> 95%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,> 95%,35,0.71,0.38,1.24,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,> 95%,40,3.51,2.12,5.56,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,> 95%,45,8.78,5.88,12.39,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,> 95%,50,16.52,11.86,22.64,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,> 95%,55,25.98,20.41,32.90,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,> 95%,60,36.34,30.10,43.17,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,> 95%,65,45.89,39.40,52.54,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,> 95%,70,53.73,47.31,60.38,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,> 95%,75,59.41,53.69,65.81,,,
Knee Osteoarthritis,Norway,Females,HUNT,Age and Sex,> 95%,80,62.93,57.52,69.01,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,< 20%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,< 20%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,< 20%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,< 20%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,< 20%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,< 20%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,< 20%,35,0.22,0.07,0.52,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,< 20%,40,1.08,0.42,2.45,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,< 20%,45,2.74,1.33,5.39,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,< 20%,50,5.34,3.10,9.36,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,< 20%,55,8.90,5.78,13.50,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,< 20%,60,13.39,9.39,18.47,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,< 20%,65,18.19,13.70,23.69,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,< 20%,70,22.75,17.69,28.55,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,< 20%,75,26.50,21.25,32.76,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,< 20%,80,28.95,23.62,35.60,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,20-40%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,20-40%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,20-40%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,20-40%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,20-40%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,20-40%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,20-40%,35,0.33,0.13,0.67,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,20-40%,40,1.65,0.78,3.06,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,20-40%,45,4.15,2.21,6.69,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,20-40%,50,8.06,4.91,12.03,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,20-40%,55,13.37,9.33,18.47,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,20-40%,60,19.94,14.93,25.57,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,20-40%,65,26.81,21.38,33.15,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,20-40%,70,33.17,27.49,39.49,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,20-40%,75,38.26,32.31,44.37,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,20-40%,80,41.48,35.36,47.48,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,40-60%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,40-60%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,40-60%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,40-60%,20,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,40-60%,25,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,40-60%,30,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,40-60%,35,0.39,0.22,0.53,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,40-60%,40,1.92,1.23,2.59,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,40-60%,45,4.81,3.46,5.92,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,40-60%,50,9.19,6.62,11.18,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,40-60%,55,14.89,11.56,17.14,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,40-60%,60,21.64,17.60,24.65,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,40-60%,65,28.40,23.74,31.59,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,40-60%,70,34.43,29.51,37.75,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,40-60%,75,39.09,33.77,42.48,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,40-60%,80,42.04,36.77,45.52,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,60-80%,5,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,60-80%,10,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,60-80%,15,0.00,0.00,0.00,,,
Knee Osteoarthritis,United Kingdom,Females,Genomics England,Age and Sex,60-80%,20,0.00,0.00,0.00,,,
